Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://headon.pro,"Kreativ- & Digitalagentur für Web, Apps & Design | Ab 2.500€",69,0.00480915182903106,n/a,2,200,0.216,0,1,1,1,0,Self-canonical,1,7,22,1,0,-,-,18,0,20,"website erstellen lassen im main-tauber-kreis. webdesign & app-entwicklung zu festpreisen ab 2.500€. ki-gestützt, 4x schneller. professionelle digitalagentur.",
https://headon.pro/,"Kreativ- & Digitalagentur für Web, Apps & Design | Ab 2.500€",95,0.025180160480478032,n/a,0,200,0.113,0,1,1,1,0,Self-canonical,0,108,22,1,0,-,-,18,0,20,"website erstellen lassen im main-tauber-kreis. webdesign & app-entwicklung zu festpreisen ab 2.500€. ki-gestützt, 4x schneller. professionelle digitalagentur.",
https://headon.pro/about,Über uns - HEADON Digitalagentur aus Lauda-Königshofen,90,0.024919076545222674,n/a,1,200,0.199,0,1,1,1,0,Self-canonical,1,107,16,0,0,-,-,20,0,21,"moderne digitalagentur für web, mobile & ki-integration. technologie-agnostisch mit next.js, react, vue, flutter und mehr. regional verwurzelt in lauda-königshofen.",
https://headon.pro/blog,"Blog - Web Development, Design & Innovation | HEADON",99,0.02528845439209749,n/a,1,200,0.284,0,1,1,1,0,Self-canonical,1,107,28,0,0,-,-,19,0,20,"headon blog: insights, trends und best practices zu web development, ui/ux design, mobile apps und digitaler innovation. expertenwissen für digitalexperten.",
https://headon.pro/blog/app-performance-best-practices,,-,0.0038894841353962805,n/a,3,404,0.16,0,0,0,0,0,-,0,1,0,0,0,-,-,0,0,1,-,
https://headon.pro/blog/caching-strategien-web-apps,"Caching-Strategien für moderne Web-Apps: Redis, CDN und Browser-Cache | HEADON Blog",58,0.0046349027105539314,n/a,2,200,0.21,0,1,1,1,0,Self-canonical,1,5,21,3,0,-,-,21,0,28,"praktischer guide zu caching: browser cache, cdn, redis, service workers und next.js caching für dramatisch schnellere web-anwendungen.",
https://headon.pro/blog/cms-vergleich-2025,,-,0.0038602521375707037,n/a,4,404,0.127,0,0,0,0,0,-,0,1,0,0,0,-,-,0,0,2,-,
https://headon.pro/blog/core-web-vitals-optimierung,Core Web Vitals optimieren 2025: Mehr Traffic & bessere Rankings | HEADON Blog,12,0.0041416780698166145,n/a,3,200,0.125,0,1,1,1,0,Self-canonical,1,4,22,6,0,-,-,21,0,28,"core web vitals sind google-rankingfaktor! erfahren sie, wie sie lcp, fid und cls optimieren und ihre website-performance messbar verbessern – für mehr traffic und conversions.",
https://headon.pro/blog/design-systems-skalierbar,Design Systems: Skalierbare UI-Komponenten mit React und Tailwind | HEADON Blog,40,0.004386956680808686,n/a,2,200,0.211,0,1,1,1,0,Self-canonical,1,2,21,3,0,-,-,21,0,28,"kompletter guide zum aufbau eines design systems: komponenten-bibliothek, tailwind css, shadcn/ui und best practices für enterprise-apps.",
https://headon.pro/blog/dsgvo-konforme-website-checkliste,DSGVO-konforme Webseite 2025: Die komplette Compliance-Checkliste | HEADON Blog,7,0.004037037176019599,n/a,3,200,0.317,0,1,1,1,0,Self-canonical,1,3,20,16,0,-,-,21,0,29,"dsgvo-konforme webseite: 15-punkte-checkliste für rechtssichere webseiten, cookie-banner best practices, datenschutz-anforderungen und häufige fehler vermeiden.",
https://headon.pro/blog/e-commerce-website-aufbauen,E-Commerce Website aufbauen: Der komplette Guide für Online-Shops 2025 | HEADON Blog,5,0.00397748309128803,n/a,3,200,0.129,0,1,1,1,0,Self-canonical,1,2,21,3,0,-,-,21,0,27,"erfolgreichen online-shop erstellen: plattform-wahl, payment-integration, ux-optimierung, conversion-strategien und marketing für mehr online-umsatz.",
https://headon.pro/blog/google-business-profile-optimieren,,-,0.004061462015850529,n/a,3,404,0.148,0,0,0,0,0,-,0,3,0,0,0,-,-,0,0,1,-,
https://headon.pro/blog/handwerker-website-erfolgreich,Handwerker-Website: Der komplette Guide für erfolgreiches Online-Marketing 2025 | HEADON Blog,57,0.004590999038324399,n/a,2,200,0.121,0,1,1,1,0,Self-canonical,1,4,21,3,0,-,-,21,0,28,"erfolgreiche handwerker-website erstellen: projektgalerie, online-anfragen, local seo, google my business und lead-generierung für handwerksbetriebe.",
https://headon.pro/blog/headless-cms-vorteile,,-,0.0038602521375707037,n/a,4,404,0.124,0,0,0,0,0,-,0,1,0,0,0,-,-,0,0,2,-,
https://headon.pro/blog/local-seo-guide-kleine-unternehmen,Local SEO Guide 2025: Wie kleine Unternehmen lokal bei Google ranken | HEADON Blog,64,0.004763938880887754,n/a,2,200,0.118,0,1,1,1,0,Self-canonical,1,6,23,3,0,-,-,21,0,28,"local seo strategien für kmu: google business profile optimieren, lokale keywords, citations aufbauen, bewertungen sammeln und in google maps erscheinen.",
https://headon.pro/blog/mobile-first-design,Mobile-First Design: Best Practices für 2025 | HEADON Blog,67,0.0047769228729574245,n/a,2,200,0.209,0,1,1,1,0,Self-canonical,1,6,21,3,0,-,-,21,0,26,"moderne mobile-first strategie: responsive design, touch interfaces, performance-optimierung und progressive enhancement für mobile web-apps.",
https://headon.pro/blog/mobile-first-design-strategie,,-,0.0038672161736081185,n/a,4,404,0.103,0,0,0,0,0,-,0,1,0,0,0,-,-,0,0,2,-,
https://headon.pro/blog/next-js-15-neue-features,Next.js 15: Die wichtigsten neuen Features für moderne Web-Apps | HEADON Blog,77,0.005152388522181335,n/a,2,200,0.121,0,1,1,1,0,Self-canonical,1,11,21,7,0,-,-,21,0,27,"entdecken sie die revolutionären features von next.js 15: partial prerendering, server actions und verbesserte performance für enterprise-anwendungen.",
https://headon.pro/blog/next-js-image-optimization,"Next.js Image Optimization: WebP, AVIF und moderne Formate meistern | HEADON Blog",65,0.004769599902603899,n/a,2,200,0.122,0,1,1,1,0,Self-canonical,1,6,23,9,0,-,-,21,0,27,"kompletter guide zur next.js image-komponente: automatische optimierung, moderne formate (webp/avif), lazy loading und best practices für perfekte performance.",
https://headon.pro/blog/next-js-performance-optimization,Next.js Performance-Optimierung: 15 Best Practices für 2025 | HEADON Blog,70,0.004876807515102569,n/a,2,200,0.298,0,1,1,1,0,Self-canonical,1,8,23,8,0,-,-,21,0,27,"steigern sie ihren lighthouse-score auf 90+: code-splitting, image optimization, caching und moderne performance-patterns für next.js anwendungen.",
https://headon.pro/blog/next-js-vs-wordpress-vergleich,Next.js vs WordPress: Der ultimative CMS-Vergleich 2025 | HEADON Blog,2,0.003897299771607059,n/a,3,200,0.221,0,1,1,1,0,Self-canonical,1,1,24,3,0,-,-,21,0,29,"next.js vs wordpress im detail: performance, seo, kosten, wartung und sicherheit verglichen. welches system passt zu ihrem projekt? kompletter entscheidungsguide.",
https://headon.pro/blog/progressive-web-apps-guide,Progressive Web Apps (PWA): Der komplette Guide für 2025 | HEADON Blog,11,0.004098642644074403,n/a,3,200,0.232,0,1,1,1,0,Self-canonical,1,3,23,3,0,-,-,21,0,26,"pwa-entwicklung verstehen: was sind progressive web apps, vorteile, technische implementierung mit service workers, offline-funktionalität und app-ähnliche features.",
https://headon.pro/blog/react-19-concurrent-features,React 19: Concurrent Features verstehen und richtig einsetzen | HEADON Blog,62,0.0046799668259727666,n/a,2,200,0.124,0,1,1,1,0,Self-canonical,1,5,22,6,0,-,-,21,0,27,"ein praktischer guide zu react 19 concurrent features: use() hook, server components, transitions und automatisches batching für performante apps.",
https://headon.pro/blog/react-native-vs-native,,-,0.0038894841353962805,n/a,3,404,0.186,0,0,0,0,0,-,0,1,0,0,0,-,-,0,0,1,-,
https://headon.pro/blog/restaurant-website-best-practices,Restaurant Website Best Practices: Der komplette Guide 2025 | HEADON Blog,6,0.003991921145394501,n/a,3,200,0.229,0,1,1,1,0,Self-canonical,1,2,22,3,0,-,-,21,0,27,"erfolgreiche restaurant-website erstellen: online-reservierung, digitale speisekarte, mobile-optimierung, local seo und online-bestellung für mehr gäste.",
https://headon.pro/blog/seo-texte-schreiben-guide,,-,0.0038825001616662295,n/a,3,404,0.123,0,0,0,0,0,-,0,1,0,0,0,-,-,0,0,1,-,
https://headon.pro/blog/ssr-vs-csr-complete-guide,SSR vs CSR: Der komplette Guide für die richtige Wahl 2025 | HEADON Blog,74,0.004945483135247079,n/a,2,200,0.128,0,1,1,1,0,Self-canonical,1,8,22,6,0,-,-,21,0,27,"server-side vs. client-side rendering verstehen: vor- und nachteile, use cases, performance-impact und wann sie welche strategie nutzen sollten.",
https://headon.pro/blog/web-accessibility-wcag,Web Accessibility: WCAG 2.2 Standards praktisch umsetzen | HEADON Blog,41,0.004408930173658677,n/a,2,200,0.213,0,1,1,1,0,Self-canonical,1,2,21,5,0,-,-,21,0,27,"kompletter wcag-guide: barrierefreie websites entwickeln, aria richtig nutzen, keyboard-navigation und screen-reader unterstützung implementieren.",
https://headon.pro/blog/web-projekt-planung,Web-Projekt erfolgreich planen: Von der Idee zum Launch | HEADON Blog,59,0.004642355008643995,n/a,2,200,0.118,0,1,1,1,0,Self-canonical,1,5,21,3,0,-,-,21,0,26,"kompletter projekt-planungs-guide: requirements, budget, timeline, team, tech-stack und best practices für erfolgreiche web-projekte.",
https://headon.pro/blog/website-erstellen-lassen-guide,Website erstellen lassen 2025: Der komplette Guide für Unternehmen | HEADON Blog,25,0.004251991385871304,n/a,3,200,0.228,0,1,1,1,0,Self-canonical,1,6,24,5,0,-,-,21,0,28,"website erstellen lassen leicht gemacht: schritt-für-schritt-anleitung, agentur vs freelancer vs baukasten-vergleich, checkliste und tipps für ihr projekt.",
https://headon.pro/blog/website-kosten-2025,Website Kosten 2025: Was kostet eine professionelle Website wirklich? | HEADON Blog,37,0.004322299864534504,n/a,3,200,0.224,0,1,1,1,0,Self-canonical,1,7,24,5,0,-,-,21,0,28,"transparenter website-kosten-überblick 2025: preisspannen, versteckte kosten, kostenrechner und vergleich agentur vs. freelancer vs. baukasten für ihre website.",
https://headon.pro/blog/website-performance-optimieren,,-,0.003950321931200315,n/a,4,404,0.122,0,0,0,0,0,-,0,2,0,0,0,-,-,0,0,2,-,
https://headon.pro/blog/website-relaunch-guide,Website Relaunch 2025: Der komplette Guide zum erfolgreichen Neustart | HEADON Blog,9,0.0040452978756176676,n/a,3,200,0.328,0,1,1,1,0,Self-canonical,1,3,24,7,0,-,-,21,0,28,"website relaunch meistern: 10 anzeichen für relaunch, schritt-für-schritt-prozess, seo-checkliste, häufige fehler und wie sie ranking-verluste vermeiden.",
https://headon.pro/blog/welche-agentur-webentwicklung-empfehlung,Welche Agentur für Webentwicklung? Der Experten-Guide zur richtigen Wahl [2025] | HEADON Blog,1,0.0038626270904205244,n/a,4,200,0.584,0,1,1,1,0,Self-canonical,1,1,22,4,0,-,-,21,0,30,"welche agentur kannst du für die webentwicklung empfehlen? objektiver leitfaden zur agenturwahl mit 10-punkte-checkliste, kostenrechner und konkreten auswahlkriterien.",
https://headon.pro/branchen,Branchen-Lösungen | HEADON - Enterprise Web Development,94,0.0251527566543155,n/a,1,200,0.291,0,1,1,1,0,Self-canonical,1,107,22,0,0,-,-,23,0,24,"spezialisierte website-lösungen mit enterprise-architektur. next.js 15, typescript, performance-optimiert. für gastronomie, handwerk, einzelhandel, beratung, immobilien und fitness.",
https://headon.pro/branchen/beratung,"Website für Berater, Coaches und Dienstleister | HEADON",78,0.005162112270787715,n/a,1,200,0.117,0,1,1,1,0,Canonical to other page,1,3,17,0,0,-,-,25,0,25,"positionieren sie sich als experte mit einer professionellen website, die vertrauen schafft und neukunden überzeugt.",
https://headon.pro/branchen/einzelhandel,E-Commerce Lösung für Ihren Online-Shop | HEADON,80,0.0052452180283799115,n/a,1,200,0.116,0,1,1,1,0,Canonical to other page,1,4,17,0,0,-,-,25,0,25,"verkaufen sie ihre produkte online mit einem modernen shop-system, das kunden begeistert und ihren umsatz steigert.",
https://headon.pro/branchen/fitness,Website für Fitnessstudios und Wellnesscenter | HEADON,78,0.005162112270787715,n/a,1,200,0.117,0,1,1,1,0,Canonical to other page,1,3,17,0,0,-,-,25,0,25,"gewinnen sie neue mitglieder mit einer modernen website, die ihre angebote perfekt präsentiert und buchungen vereinfacht.",
https://headon.pro/branchen/gastronomie,Professionelle Website für Ihr Restaurant oder Café | HEADON,79,0.005242295590468685,n/a,1,200,0.207,0,1,1,1,0,Canonical to other page,1,4,22,0,0,-,-,25,0,25,"steigern sie ihre reservierungen und online-bestellungen mit einer modernen website, die ihre gäste begeistert und ihre speisekarte perfekt präsentiert.",
https://headon.pro/branchen/handwerk,"Website für Handwerksbetriebe – Mehr Aufträge, weniger Aufwand | HEADON",81,0.005334447403774367,n/a,1,200,0.208,0,1,1,1,0,Canonical to other page,1,5,21,0,0,-,-,25,0,25,präsentieren sie ihre leistungen professionell online und gewinnen sie neue kunden durch bessere sichtbarkeit in ihrer region.,
https://headon.pro/branchen/immobilien,Immobilien-Website für Makler und Verwalter | HEADON,78,0.005162112270787715,n/a,1,200,0.199,0,1,1,1,0,Canonical to other page,1,3,17,0,0,-,-,25,0,25,"präsentieren sie ihre immobilien professionell online mit modernen exposés, virtuellen rundgängen und automatisierten anfragen.",
https://headon.pro/contact,Kontakt - Kostenloses Erstgespräch & Projektanfrage | HEADON,90,0.024919076545222674,n/a,1,200,0.109,0,1,1,1,0,Self-canonical,1,107,16,0,0,-,-,22,0,24,"kontaktieren sie headon für ihr digitales projekt. kostenlose erstberatung in 15 min, antwort in 2h. termin buchen oder anfragen. tel: +49 176 630 402 41",
https://headon.pro/downloads/agentur-auswahl-paket,,-,0.003862169299888275,n/a,5,404,0.106,0,0,0,0,0,-,0,1,0,0,0,-,-,0,0,2,-,
https://headon.pro/faq,Häufig gestellte Fragen (FAQ) | HEADON.pro,90,0.024919076545222674,n/a,1,200,0.11,0,1,1,1,0,Self-canonical,1,107,16,0,0,-,-,22,0,24,"antworten auf über 40 häufig gestellte fragen zu web-entwicklung, mobile apps, ui/ux design, backend-lösungen und preisen. schnelle hilfe für ihre fragen.",
https://headon.pro/glossar,Glossar - Web Development Fachbegriffe erklärt | HEADON,100,0.02551640274557045,n/a,1,200,0.497,0,1,1,1,0,Self-canonical,1,107,51,0,0,-,-,19,0,20,"verständliche erklärungen zu 30+ fachbegriffen aus webentwicklung, app-development, ui/ux design und digital marketing. von api bis typescript.",
https://headon.pro/glossar/agile,Agile Entwicklung - Glossar | HEADON.pro,26,0.0043023166559684415,n/a,2,200,0.109,0,1,1,1,0,Self-canonical,1,3,19,0,0,-,-,17,0,19,was ist agile entwicklung? agile entwicklung ist ein iterativer ansatz mit kurzen entwicklungszyklen und kontinuierlichem feedback. ✓ umfassende erklärung ✓…,
https://headon.pro/glossar/api,API (Application Programming Interface) - Glossar |…,72,0.004884149309600763,n/a,2,200,0.263,0,1,1,1,0,Self-canonical,1,8,19,0,0,-,-,17,0,18,was ist api (application programming interface)? eine programmierschnittstelle ermöglicht die kommunikation zwischen verschiedenen softwareanwendungen. ✓…,
https://headon.pro/glossar/atomic-design,Atomic Design - Glossar | HEADON.pro,28,0.004305367644300626,n/a,2,200,0.109,0,1,1,1,0,Self-canonical,1,3,19,0,0,-,-,17,0,18,was ist atomic design? atomic design ist eine methodik zum aufbau von ui-systemen aus kleinsten bausteinen (atome) zu komplexen strukturen. ✓ umfassende…,
https://headon.pro/glossar/backend,Backend - Glossar | HEADON.pro,54,0.004546009320596245,n/a,2,200,0.199,0,1,1,1,0,Self-canonical,1,5,19,0,0,-,-,17,0,18,"was ist backend? das backend ist der serverseitige teil einer anwendung, der geschäftslogik, datenverarbeitung und datenspeicherung übernimmt. ✓ umfassende…",
https://headon.pro/glossar/component-library,Component Library - Glossar | HEADON.pro,28,0.004305367644300626,n/a,2,200,0.108,0,1,1,1,0,Self-canonical,1,3,19,0,0,-,-,17,0,18,was ist component library? eine component library ist eine sammlung wiederverwendbarer ui-komponenten für konsistente entwicklung. ✓ umfassende erklärung ✓…,
https://headon.pro/glossar/core-web-vitals,Core Web Vitals - Glossar | HEADON.pro,20,0.004193225051979935,n/a,2,200,0.109,0,1,1,1,0,Self-canonical,1,2,19,0,0,-,-,17,0,19,"was ist core web vitals? core web vitals sind google-metriken, die ladezeit, interaktivität und visuelle stabilität von websites messen. ✓ umfassende erklärung…",
https://headon.pro/glossar/cross-platform,Cross-Platform Development - Glossar | HEADON.pro,30,0.004305460510238519,n/a,2,200,0.108,0,1,1,1,0,Self-canonical,1,3,19,0,0,-,-,17,0,19,was ist cross-platform development? cross-platform development ermöglicht die entwicklung von apps für mehrere plattformen mit einer gemeinsamen codebase. ✓…,
https://headon.pro/glossar/css,CSS (Cascading Style Sheets) - Glossar | HEADON.pro,31,0.004305655159527447,n/a,2,200,0.109,0,1,1,1,0,Self-canonical,1,3,19,0,0,-,-,17,0,19,"was ist css (cascading style sheets)? css ist die style-sprache des webs für das visuelle design von websites (farben, layout, typografie). ✓ umfassende…",
https://headon.pro/glossar/datenbank,Datenbank - Glossar | HEADON.pro,32,0.0043057399911040455,n/a,2,200,0.108,0,1,1,1,0,Self-canonical,1,3,19,0,0,-,-,17,0,18,"was ist datenbank? eine datenbank ist ein system zur strukturierten speicherung, verwaltung und abfrage von daten. ✓ umfassende erklärung ✓ vorteile ✓…",
https://headon.pro/glossar/design-system,Design System - Glossar | HEADON.pro,42,0.004414563366833371,n/a,2,200,0.203,0,1,1,1,0,Self-canonical,1,4,19,0,0,-,-,17,0,18,"was ist design system? ein design system ist eine sammlung wiederverwendbarer komponenten, patterns und guidelines für konsistentes design. ✓ umfassende…",
https://headon.pro/glossar/graphql,GraphQL - Glossar | HEADON.pro,36,0.004321664084563539,n/a,2,200,0.108,0,1,1,1,0,Self-canonical,1,3,19,0,0,-,-,17,0,18,"was ist graphql? graphql ist eine abfragesprache für apis, die es clients ermöglicht, genau die daten anzufordern, die sie benötigen. ✓ umfassende erklärung ✓…",
https://headon.pro/glossar/html,,-,0.00390330156475593,n/a,3,404,0.158,0,0,0,0,0,-,0,1,0,0,0,-,-,0,0,1,-,
